001,003,1300,1301,1308,1309,130a,130d,130f,130k,130l,130n,130p,130s,130t,130v,130x,130y,source,term_type
10014165,DLC,http://id.loc.gov/authorities/names/n84725376,,,,"Pubblicazioni del ""Centro di studi del pensiero filosofico del Cinquecento e del Seicento in relazione ai problemi della scienza"" del Consiglio nazionale delle ricerche.",,,,,"Serie II,","Strumenti bibliografici",,,,,,DLC;eng;DLC;DLC;OCoLC,UNIF_TITLE
10014172,DLC,http://id.loc.gov/authorities/names/n84743736,,,,"Publicación ... de la Caja de Ahorros de la Inmaculada",,,,,,,,,,,,DLC;eng;DLC;DLC;MH-P;OCoLC,UNIF_TITLE
10014236,ItRAAR,http://id.loc.gov/authorities/names/n86748449,,,,"Serie B (Instituto ""Arias Montano"")",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10014350,ItRAAR,http://id.loc.gov/authorities/names/n84707053,,,,"Beihefte zum Corpus scriptorum ecclesiasticorum Latinorum",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10014396,ItRAAR,http://id.loc.gov/authorities/names/n99040702,,,,"Etymologicum Gudianum",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10014517,ItRAAR,http://id.loc.gov/authorities/names/n97096809,,,,"Collana di monografie degli ""Annali di storia pavese""",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10014628,ItRAAR,http://id.loc.gov/authorities/names/n42017206,,,,"Münsterschwarzacher Studien",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10014816,ItRAAR,,,,,"Chronicum episcoporum Finlandensium",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10015237,ItRAAR,,,,,"Quellen und Forschungen zur Geschichte des Dominikanerordens in Deutschland",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10015383,ItRAAR,,,,,"Acta Iustini et septem sodalium",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10015403,ItRAAR,http://id.loc.gov/authorities/names/n91042004,,,,"Annales Bertiniani",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10015799,DLC,http://id.loc.gov/authorities/names/no99077613,,,,"Umanisti di Ciociaria",,,,,,,,,,,,CLU;eng;CLU,UNIF_TITLE
10015815,ItRAAR,http://id.loc.gov/authorities/names/n84704347,,,,"Lund studies in international history",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10015938,ItRAAR,http://id.loc.gov/authorities/names/n93026883,,,,Sycomore,,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10015964,ItRAAR,http://id.loc.gov/authorities/names/n79103675,,,,"Augsburg Confession",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10016021,ItRAAR,http://id.loc.gov/authorities/names/n83702864,,,,"Publicaciones de la Fundación Universitaria Española.",,,,,,"Documentación actual",,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10016110,ItRAAR,,,,,"I saggi della Fenice",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10016163,ItRAAR,,,,,"Saggi di storia e letteratura",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10016166,ItRAAR,http://id.loc.gov/authorities/names/n42033729,,,,"Saggi di arte grafica",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10016785,ItRAAR,http://id.loc.gov/authorities/names/n84717384,,,,"Deutschland deine Diözesen",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10016880,ItRAAR,http://id.loc.gov/authorities/names/n83704500,,,,"Biblioteca románica hispánica.",,,,,"V,",Diccionarios,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10017115,ItRAAR,http://id.loc.gov/authorities/names/n83704993,,,,"Collezione Biblioteca",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10017985,ItRAAR,,,,,"Acta Universitatis Stockholmiensis.",,,,,,"Stockholm economic studies.;New series",,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10018155,ItRAAR,http://id.loc.gov/authorities/names/no2004078881,,,,"Bibliothèque augustinienne",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10018240,ItRAAR,http://id.loc.gov/authorities/names/n86720640,,,,"Biblioteca ""La Ciudad de Dios""",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10018363,ItRAAR,http://id.loc.gov/authorities/names/n83708843,,,,"Classics in religious studies",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10018464,ItRAAR,http://id.loc.gov/authorities/names/n42002066,,,,"Series Valentina",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10018515,ItRAAR,http://id.loc.gov/authorities/names/n85044455,,,,"Codex Chimalpopoca",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10018658,ItRAAR,http://id.loc.gov/authorities/names/n42030146,,,,"Acta Universitatis Stockholmiensis.",,,,,,"Stockholm Slavic studies",,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10018794,ItRAAR,http://id.loc.gov/authorities/names/n42003636,,,,"Collection historique de l'Institut d'études slaves",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10018965,ItRAAR,http://id.loc.gov/authorities/names/n84721747,,,,"Herders theologischer Kommentar zum Neuen Testament",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10019062,ItRAAR,http://id.loc.gov/authorities/names/n83723249,,,,"Panjab University oriental publications",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10019580,ItRAAR,http://id.loc.gov/authorities/names/n83709055,,,,Saggi/documenti,,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10019740,ItRAAR,http://id.loc.gov/authorities/names/n42011195,,,,"Europäische Hochschulschriften.",,,,,"Reihe XXI,",Linguistik,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10019929,DLC,http://id.loc.gov/authorities/names/n86738981,,,,"Clásicos ""Emérita,"" griegos y latinos, con notas",,,,,,,,,,,,DLC;eng;DLC;DLC;OCoLC,UNIF_TITLE
10020155,ItRAAR,http://id.loc.gov/authorities/names/n84803036,,,,"Münchener historische Studien.",,,,,,"Abteilung mittelalterliche Geschichte",,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10020250,ItRAAR,http://id.loc.gov/authorities/names/n42025102,,,,"Travaux d'histoire éthico-politique",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10020457,ItRAAR,http://id.loc.gov/authorities/names/nr95010197,,,,"Codices illuminati medii aevi",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10020460,ItRAAR,http://id.loc.gov/authorities/names/n91056859,,,,"Mémoires et documents d'histoire médiévale et de philologie",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10020564,ItRAAR,http://id.loc.gov/authorities/names/n83728472,,,,"Mededelingen en verhandelingen van het Vooraziatisch-Egyptisch Genootschap ""Ex Oriente Lux""",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10020627,ItRAAR,http://id.loc.gov/authorities/names/n42004974,,,,"Biblioteca bulgara",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
