sh85006259,2138
n79126898,2143
n85221494,2144
sh85006703,2146
sh85119089,2149
sh94005214,2150
sh85119004,2151
no89010345,2156
sh85127595,2162
n80053295,2163
sh2002002053,2165
n80053295,2166
sh85007649,2168
sh85045470,2169
n79040144,2171
sh85096696,2172
n83197050,2175
nr2003029676,2176
nr94000660,2181
nr2002026953,2184
sh85088597,2189
sh92006507,2194
sh92006507,2201
sh99001520,2203
sh90001165,2207
n79015627,2209
n80049594,2210
sh97005845,2212
sh94005053,2214
sh97006452,2215
sh00009206,2216
sh2010005710,2220
sh2016000769,2223
sh92006153,2225
sh94003439,2233
sh94003439,2234
sh2007010999,2235
sh94005053,2241
sh97004303,2247
sh96007888,2248
sh2010005710,2250
sh2002007746,2251
n97098567,2256
n82031721,2263
sh87004621,2265
n78038215,2271
n91022876,2276
n92056675,2310
sh85033135,2312
sh85045470,2314
sh85046105,2316
sh85101229,2317
sh85026297,2320
sh85087419,2324
n92056675,2328
n79018344,2331
sh87005028,2332
sh85105855,2333
sh85105729,2334
n79018344,2335
sh85036275,2337
sh99002035,2338
sh85134051,2339
sh85096568,2341
sh85096568,2342
sh87004964,2350
sh85109304,2353
sh88000327,2356
sh91005379,2359
sh85007638,2361
sh85006781,2362
n80061791,2363
sh85104771,2368
sh88001463,2369
n79011134,2371
sh85006507,2380
sh85005283,2902
sh85077280,2903
sh95006811,2904
sh85127732,2905
sh2004010597,2908
sh85114930,2909
sh85001632,2910
sh85045661,2911
sh88005154,2912
sh96002146,2919
sh85006104,2932
sh85135212,2936
sh96003302,2938
n79018704,2941
sh93009312,2944
sh85017697,2947
sh86001018,2948
n87819462,2958
sh98004905,2962
sh92006160,2980
sh96003529,2991
sh85114930,2993
sh95003729,2999
sh2016000769,3003
sh2016000744,3005
n00009634,3012
sh85101295,3013
sh2003006409,3020
n80086556,3034
sh2004008862,3036
n82239981,3039
n80109329,3041
sh99014251,3042
no2006052980,3043
n85309224,3044
sh97006908,3048
n81134745,3054
sh91000543,3056
sh93006480,3057
n82037614,3058
sh86002737,3059
n87931348,3062
sh2008006814,3064
sh85095996,3066
sh97003629,3070
n79018545,3072
no2015060017,3077
n81046794,3086
sh2004010578,3092
sh85101355,3093
sh85101371,3100
sh99001520,3104
sh86001064,3105
no2001058098,3108
sh85092393,3111
sh89005533,3112
n85061455,3118
n83033427,3119
sh97003776,3123
sh85068340,3125
sh2012004728,3126
sh85097246,3127
sh85020000,3129
sh86004062,3132
sh85147330,3134
n84036407,3137
sh85096568,3140
sh99003347,3145
n82137785,3156
sh94005889,3170
n2011064052,3173
n81003082,3181
n79086771 ,3185
n85309224,3187
n79027120,3191
n84157413,3194
n94058853,3196
n79097456,3198
n79027122,3200
n93048584,3201
sh97008824,3202
sh88004255,3203
sh89006632,3205
n79034879,3206
sh85020461,3208
no2016111925,3209
n2005063371,3210
n79013822,3215
n79100751,3217
